,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
0,Audi,A8,2016,First,"25,000",bangalore,Automatic,16.77,Diesel,Dealer,4,2967,246.74,59.5,https://www.cardekho.com/used-car-details/used-Audi-A8-2014-2019-L-50-TDI-Quattro-Premium-Plus-cars-Bangalore_A97E9F586F745B389DEF84F741A5C142.htm
1,Honda,Amaze,2018,First,"20,668",bangalore,Automatic,19.0,Petrol,Dealer,5,1199,88.76,7.99,https://www.cardekho.com/used-car-details/used-Honda-Amaze-V-CVT-Petrol-BSIV-cars-Bangalore_CC61A9324B833ABFD77177C22E628889.htm
2,Honda,Jazz,2017,First,"49,000",bangalore,Manual,18.7,Petrol,Dealer,5,1199,88.7,6.35,https://www.cardekho.com/used-car-details/used-Honda-Jazz-2018-2020-1.2-S-i-VTEC-cars-Bangalore_C0C59857A0C33A2C46A29360BA86769B.htm
3,Ford,Ecosport,2019,First,"10,012",bangalore,Automatic,14.7,Petrol,Dealer,5,1496,120.69,10.99,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Petrol-Titanium-Plus-AT-cars-Bangalore_8F4D72FF0AF41926EC5E87A8A8D63A44.htm
4,Mercedes-Benz,GL-Class,2010,Second,"80,000",bangalore,Automatic,12.0,Diesel,Individual,7,2987,224,20,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-GL-Class-2007-2012-350-CDI-Luxury-cars-Bangalore_76B344717E7481B13E38473F41D4E225.htm
5,Honda,City,2018,First,"10,000",bangalore,Automatic,18.0,Petrol,Individual,5,1497,117.6,12,https://www.cardekho.com/used-car-details/used-Honda-City-2017-2020-i-VTEC-CVT-VX-cars-Bangalore_6FDF69F0B4AD2548704C08B7E3F9366A.htm
6,Toyota,Glanza,2019,First,"10,045",bangalore,Automatic,19.56,Petrol,Dealer,5,1197,81.80,8.65,https://www.cardekho.com/used-car-details/used-Toyota-Glanza-G-CVT-cars-Bangalore_84578477F5A0EFAF90F8C583B38C1E9B.htm
7,Mercedes-Benz,GLC,2018,First,"41,000",bangalore,Automatic,17.9,Diesel,Dealer,5,2143,170,42,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-GLC-2016-2019-220d-4MATIC-Sport-cars-Bangalore_C2911A532B3317662602C6D063FD6D81.htm
8,Honda,City,2017,First,"37,000",bangalore,Automatic,18.0,Petrol,Dealer,5,1497,117.6,9.25,https://www.cardekho.com/used-car-details/used-Honda-City-2017-2020-i-VTEC-CVT-V-cars-Bangalore_C0FAC79D092F150EC696F75AED943ACF.htm
9,Hyundai,i10,2012,First,"38,000",bangalore,Automatic,16.95,Petrol,Dealer,5,1197,78.9,3.9,https://www.cardekho.com/used-car-details/used-Hyundai-i10-Sportz-AT-cars-Bangalore_991AB62DA6599D4FC1BFED03DC6AD594.htm
10,Maruti,Vitara,2017,First,"35,000",bangalore,Manual,24.3,Diesel,Dealer,5,1248,88.5,8.65,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-ZDi-cars-Bangalore_5C908044CE463148F1F795E821850CC3.htm
11,BMW,6,2019,First,"9,000",bangalore,Automatic,17.09,Diesel,Dealer,4,2993,261.4,65,https://www.cardekho.com/used-car-details/used-BMW-6-Series-GT-630d-Luxury-Line-cars-Bangalore_A2C5A826B83414C839A693B237492744.htm
12,Maruti,Swift,2017,First,"25,732",bangalore,Manual,22.0,Petrol,Dealer,5,1197,81.80,6,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VVT-VXI-cars-Bangalore_1A0DD69A8253B1AACCB8ACDB85A6F76A.htm
13,Maruti,Celerio,2017,First,"8,077",bangalore,Automatic,23.1,Petrol,Dealer,5,998,67.04,5.19,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-2014-2017-ZXI-AT-cars-Bangalore_01024420A020C0D02D5D57AB9F8A8DE5.htm
14,Maruti,Swift,2014,First,"47,199",bangalore,Manual,25.2,Diesel,Dealer,5,1248,74,5.56,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VDI-BSIV-cars-Bangalore_38B2074800BE8146CC7FEC6013FB6FA6.htm
15,Tata,Hexa,2018,First,"32,000",bangalore,Manual,17.6,Diesel,Dealer,7,2179,153.86,14.5,https://www.cardekho.com/used-car-details/used-Tata-Hexa-2017-2020-XM-Plus-cars-Bangalore_E76D7F24A8994A365E14B43568F6942D.htm
16,Hyundai,i20,2017,First,"19,000",bangalore,Manual,18.6,Petrol,Dealer,5,1197,81.83,6.35,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2015-2017-Magna-1.2-cars-Bangalore_6C9DA962E78946F447013BE2A3C5DE53.htm
17,Maruti,Ciaz,2017,First,"13,500",bangalore,Manual,20.73,Petrol,Dealer,5,1373,91.1,7.55,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-1.4-Delta-cars-Bangalore_3BB3B07693A2DA30880CCFBB5D69C247.htm
18,Maruti,Wagon,2016,Second,"20,264",bangalore,Automatic,20.51,Petrol,Dealer,5,998,67,4.45,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-AMT-VXI-cars-Bangalore_ECABE0CA045B25D00ED8FDA75E652472.htm
19,Maruti,Ignis,2018,First,"25,136",bangalore,Manual,20.89,Petrol,Dealer,5,1197,81.80,5.45,https://www.cardekho.com/used-car-details/used-Maruti-Ignis-1.2-Delta-BSIV-cars-Bangalore_F67C314A454DB9C6996910B6E583DA64.htm
20,Hyundai,Verna,2012,First,"54,000",chennai,Manual,22.32,Diesel,Individual,5,1582,126.32,4.7,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-CRDi-(O)-cars-Chennai_B56BD244FB70CD0C45D7E8F273E6DA8A.htm
21,Toyota,Innova,2010,First,"1,00,000",chennai,Manual,12.8,Diesel,Individual,8,2494,102,9.5,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2009-2011-2.5-VX-8-STR-cars-Chennai_057EDB426B5C0CA0847217A37E7BA103.htm
22,Volkswagen,Tiguan,2019,First,"16,806",chennai,Automatic,16.65,Diesel,Dealer,5,1968,141,30,https://www.cardekho.com/used-car-details/used-Volkswagen-Tiguan-2.0-TDI-Highline-cars-Chennai_002655A6C5A4E5ECF51A11059939824D.htm
23,BMW,7,2015,First,"26,000",chennai,Automatic,16.46,Diesel,Dealer,5,2993,258,49.5,https://www.cardekho.com/used-car-details/used-BMW-7-Series-730Ld-Sedan-cars-Chennai_CD22795EC72423D88B34560C2BD804C5.htm
24,Maruti,Baleno,2018,First,"50,000",chennai,Automatic,21.4,Petrol,Dealer,5,1197,83.1,7.25,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-CVT-Alpha-cars-Chennai_8590E0FBC7DB1EE7125FD946736DF443.htm
25,Ford,Ecosport,2018,First,"18,000",chennai,Automatic,14.8,Petrol,Dealer,5,1497,121.36,9.25,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Petrol-Trend-Plus-AT-BSIV-cars-Chennai_915310523BC71823590F2F6C73995986.htm
26,Audi,A4,2018,First,"17,000",chennai,Automatic,17.84,Petrol,Dealer,5,1395,147.51,34,https://www.cardekho.com/used-car-details/used-Audi-A4-2015-2020-30-TFSI-Technology-cars-Chennai_3FA9710F7D4C68B31FFBDFAD48493668.htm
27,Maruti,Baleno,2016,First,"93,000",chennai,Manual,27.39,Diesel,Dealer,5,1248,74,5.6,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-Alpha-Diesel-cars-Chennai_3089EDB60085D5B497288559C4962A18.htm
28,Hyundai,Creta,2018,First,"56,000",chennai,Automatic,17.01,Diesel,Dealer,5,1582,126.2,12.9,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-2015-2020-1.6-CRDi-AT-SX-Plus-cars-Chennai_E76707D9D2F386951CE38C9C4B17817F.htm
29,Honda,Jazz,2017,First,"78,000",chennai,Manual,27.3,Diesel,Dealer,5,1498,98.6,6.25,https://www.cardekho.com/used-car-details/used-Honda-Jazz-2018-2020-1.5-V-i-DTEC-cars-Chennai_B2A52A3BE7014FA47BD00092AC72AE06.htm
30,Maruti,Celerio,2015,First,"34,000",chennai,Automatic,23.1,Petrol,Dealer,5,998,67.04,4.25,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-2014-2017-ZXI-AT-cars-Chennai_151F329E5016BEA6673FDA21706E5E21.htm
31,Hyundai,Elantra,2019,First,"55,001",chennai,Manual,22.54,Diesel,Dealer,5,1582,126.2,15.5,https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-2015-2019-1.6-SX-cars-Chennai_532D0247EDB09981096A9DD88936EA7E.htm
32,Hyundai,i20,2017,First,"16,100",chennai,Manual,18.6,Petrol,Dealer,5,1197,81.83,6.3,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2017-2020-1.2-Spotz-cars-Chennai_1C934D49382579AA484BA0C0022C1020.htm
33,Honda,Jazz,2015,First,"66,400",chennai,Manual,27.3,Diesel,Dealer,5,1498,98.6,6.2,https://www.cardekho.com/used-car-details/used-Honda-Jazz-2018-2020-VX-Diesel-cars-Chennai_F3289BF14FC3D864C00FA2D13B6D63E7.htm
34,Honda,Jazz,2017,First,"29,000",chennai,Manual,27.3,Diesel,Dealer,5,1498,98.6,6.6,https://www.cardekho.com/used-car-details/used-Honda-Jazz-2018-2020-1.5-SV-i-DTEC-cars-Chennai_3010F000C909C414ED3A794AF72B9E40.htm
35,Ford,Ecosport,2016,First,"22,800",chennai,Manual,21.7,Diesel,Dealer,5,1498,98.96,7.5,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Titanium-cars-Chennai_FD50C5C91D21A5B8107FE4297DC1688E.htm
36,Hyundai,i20,2018,First,"11,000",chennai,Manual,23.0,Diesel,Dealer,5,1396,90,8.13,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2010-2012-1.4-CRDi-Asta-cars-Chennai_3B1CECE50D4E7901F3158701BB8EF812.htm
37,Maruti,Swift,2018,First,"37,000",chennai,Automatic,28.4,Diesel,Dealer,5,1248,74,7.65,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2018-AMT-ZDI-cars-Chennai_BB338C85E6CA495C4B743BCEE95F7650.htm
38,Kia,Carnival,2020,First,"9,000",chennai,Automatic,14.11,Diesel,Dealer,7,2199,197.2,36,https://www.cardekho.com/used-car-details/used-Kia-Carnival-Limousine-cars-Chennai_5AB97385EF99F49611288A7664112BFC.htm
39,Maruti,Ciaz,2017,First,"16,000",chennai,Automatic,20.04,Petrol,Dealer,5,1462,103.25,7.9,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Zeta-AT-cars-Chennai_09F2899919FBFD9068A8D06A744477B1.htm
40,Toyota,Glanza,2019,First,"10,001",delhi ncr,Manual,21.01,Petrol,Dealer,5,1197,81.80,8,https://www.cardekho.com/used-car-details/used-Toyota-Glanza-V-cars-New-Delhi_732C5E34612CFCB2D3873DF0F1A4EC4A.htm
41,BMW,3,2019,First,"8,000",delhi ncr,Automatic,15.34,Petrol,Dealer,5,1998,248,48.5,https://www.cardekho.com/used-car-details/used-BMW-3-Series-GT-M-Sport-Petrol-cars-New-Delhi_8DB094119A0ED9ED1FDF0AB24C6C9EEB.htm
42,BMW,X4,2019,First,"16,110",delhi ncr,Automatic,16.78,Diesel,Dealer,5,1995,190,56.75,https://www.cardekho.com/used-car-details/used-BMW-X4-M-Sport-X-xDrive20d-cars-New-Delhi_1C4428E0B4FD556A378608C2232D6445.htm
43,BMW,5,2016,First,"42,000",delhi ncr,Automatic,18.12,Diesel,Dealer,5,1995,190,25.75,https://www.cardekho.com/used-car-details/used-BMW-5-Series-2013-2017-520d-Luxury-Line-cars-New-Delhi_797943735DBC277ADB1A1D2CE8854B97.htm
44,Skoda,Yeti,2012,First,"1,20,000",delhi ncr,Manual,17.67,Diesel,Individual,5,1968,138.08,5.5,https://www.cardekho.com/used-car-details/used-Skoda-Yeti-2009-2013-Elegance-cars-New-Delhi_1B39409CCBF740AC5C85EE59C4A73734.htm
45,Maruti,Baleno,2017,First,"14,000",delhi ncr,Manual,21.4,Petrol,Dealer,5,1197,83.1,6.37,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Zeta-cars-New-Delhi_C908ED1A05D18D783455256F0FB9671E.htm
46,Maruti,Baleno,2017,First,"25,398",delhi ncr,Manual,21.4,Petrol,Trustmark Dealer,5,1197,83.1,6.25,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Zeta-cars-New-Delhi_20EBEA61E1EFA4CB638766DBF7B9BB8C.htm
47,Maruti,Alto,2015,First,"23,959",delhi ncr,Automatic,23.95,Petrol,Trustmark Dealer,5,998,67.05,3.45,https://www.cardekho.com/used-car-details/used-Maruti-Alto-K10-VXI-AMT-cars-Noida_781070F3F50B1C7E4B6D69AAEDE3DB9E.htm
48,Maruti,Swift,2018,First,"17,000",delhi ncr,Manual,19.3,Diesel,Dealer,5,1248,73.9,6,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2008-VDi-cars-New-Delhi_5C9688FFA3CB24531798C57A5EB08D9F.htm
49,Maruti,Baleno,2018,First,"19,000",delhi ncr,Manual,21.01,Petrol,Dealer,5,1197,81.80,6.1,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-Alpha-cars-New-Delhi_0193C79AAB886BEA7B3A251AC5805DEC.htm
50,BMW,5,2018,First,"22,100",delhi ncr,Automatic,22.48,Diesel,Dealer,5,1995,187.74,44,https://www.cardekho.com/used-car-details/used-BMW-5-Series-520d-Luxury-Line-cars-New-Delhi_DE14761B5399BE0382164C9F48542E00.htm
51,Mercedes-Benz,E-Class,2018,First,"29,000",delhi ncr,Automatic,16.1,Diesel,Dealer,5,1950,191.7,45,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-E-Class-Exclusive-E-220-d-BSIV-cars-New-Delhi_2B3002709318FFF29F2C6029C9A73156.htm
52,BMW,6,2019,First,"16,000",delhi ncr,Automatic,17.09,Diesel,Dealer,4,2993,261.4,58,https://www.cardekho.com/used-car-details/used-BMW-6-Series-GT-630d-Luxury-Line-cars-New-Delhi_CC86EC9F54E05D60336687B8E507559D.htm
53,Mahindra,Ssangyong,2014,First,"49,000",delhi ncr,Automatic,11.18,Diesel,Dealer,7,2696,184,8.75,https://www.cardekho.com/used-car-details/used-Mahindra-Ssangyong-Rexton-RX7-cars-New-Delhi_321B9ADB00F0D26B6ED540188D75EF10.htm
54,Ford,Freestyle,2018,First,"20,000",delhi ncr,Manual,19.0,Petrol,Dealer,5,1194,94.68,5.49,https://www.cardekho.com/used-car-details/used-Ford-Freestyle-Trend-Petrol-BSIV-cars-New-Delhi_9D0CB9A27751FFB70F34B193C0ED8443.htm
55,Mahindra,Marazzo,2018,First,"17,000",delhi ncr,Manual,17.3,Diesel,Dealer,7,1497,121,10.75,https://www.cardekho.com/used-car-details/used-Mahindra-Marazzo-M6-cars-New-Delhi_5EA25BA6DBD8FE35061F1B4D15AEE5F1.htm
56,BMW,5,2017,First,"21,000",delhi ncr,Automatic,18.12,Diesel,Dealer,5,1995,190,33.5,https://www.cardekho.com/used-car-details/used-BMW-5-Series-2013-2017-520d-M-Sport-cars-New-Delhi_BFDF707E69D07F61F62FABC00B871D63.htm
57,Hyundai,Santa,2016,First,"47,000",delhi ncr,Automatic,13.01,Diesel,Dealer,7,2199,194.3,16.5,https://www.cardekho.com/used-car-details/used-Hyundai-Santa-Fe-4WD-AT-cars-New-Delhi_8BCFEC98AFE915812E61E6FA193E125B.htm
58,Toyota,Camry,2014,First,"45,000",delhi ncr,Automatic,12.98,Petrol,Dealer,5,2494,178.3,10.99,https://www.cardekho.com/used-car-details/used-Toyota-Camry-2012-2014-2.5-G-cars-New-Delhi_6ABC63D27C32F897F52FF6F834FA6644.htm
59,Volkswagen,Polo,2016,First,"58,000",hyderabad,Manual,16.2,Petrol,Dealer,5,1199,74,6.1,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-2015-2019-1.2-MPI-Highline-cars-Hyderabad_5EA0A1F73708D9A863301979B6865E59.htm
60,Skoda,Octavia,2015,First,"1,09,000",hyderabad,Automatic,19.3,Diesel,Dealer,5,1968,141,13.5,https://www.cardekho.com/used-car-details/used-Skoda-Octavia-2013-2017-Elegance-2.0-TDI-AT-cars-Hyderabad_819AA11E7DC7E0241A71EB618619B4D1.htm
61,Hyundai,i20,2015,First,"77,597",hyderabad,Manual,22.54,Diesel,Dealer,5,1396,88.73,6.34,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2014-2015-Asta-1.4-CRDi-cars-Hyderabad_70017F8AC2373BC321818F5B218FF383.htm
62,Nissan,Micra,2015,First,"43,240",hyderabad,Automatic,19.34,Petrol,Dealer,5,1198,76,4.54,https://www.cardekho.com/used-car-details/used-Nissan-Micra-2012-2017-XV-CVT-cars-Hyderabad_4A89DEC835A8A0C4DC01A38AD8891C05.htm
63,Chevrolet,Cruze,2011,First,"1,10,000",hyderabad,Automatic,18.1,Diesel,Individual,4,1991,147.9,4.5,https://www.cardekho.com/used-car-details/used-Chevrolet-Cruze-2010-2011-LTZ-AT-cars-Hyderabad_1C8F50BC4B2076000F7EE77B7464B57A.htm
64,Mahindra,XUV300,2019,First,"52,090",hyderabad,Manual,20.0,Diesel,Dealer,5,1497,115,10.5,https://www.cardekho.com/used-car-details/used-Mahindra-XUV300-W8-Diesel-cars-Hyderabad_F3EE71F57285B98EFEC52BAAD3B7AD4D.htm
65,Volvo,S90,2018,First,"39,000",hyderabad,Automatic,18.0,Diesel,Dealer,5,1969,190,42,https://www.cardekho.com/used-car-details/used-Volvo-S90-D4-Inscription-BSIV-cars-Hyderabad_00961F1FC11D1F0268EA2FAC6C40AAA6.htm
66,Mercedes-Benz,S-Class,2018,First,"8,000",hyderabad,Automatic,7.81,Petrol,Dealer,5,2996,362.07,1.05,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-S-Class-S-450-cars-Hyderabad_E6B85E5C1E4A2DFA2B854051BD7AC73A.htm
67,Hyundai,Venue,2019,First,"16,321",hyderabad,Manual,18.27,Petrol,Dealer,5,998,118.35,11.25,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-SX-Opt-Turbo-cars-Hyderabad_4CF1E39D09146538F0CB15C1293E9558.htm
68,Renault,KWID,2018,First,"9,000",hyderabad,Automatic,23.01,Petrol,Dealer,5,999,67,4.3,https://www.cardekho.com/used-car-details/used-Renault-KWID-2015-2019-IRON-MAN-1.0-AMT-cars-Hyderabad_1A2ABC77AD0A23D3C27D02E227221110.htm
69,BMW,X6,2014,First,"1,30,000",hyderabad,Automatic,11.2,Diesel,Dealer,4,2993,306,29.99,https://www.cardekho.com/used-car-details/used-BMW-X6-2009-2014-xDrive-40d-cars-Hyderabad_F2D53B27032ED555A58623A908F9EE55.htm
70,Maruti,Ritz,2015,First,"1,10,000",hyderabad,Manual,23.2,Diesel,Dealer,5,1248,73.94,3.75,https://www.cardekho.com/used-car-details/used-Maruti-Ritz-VDi-cars-Hyderabad_FDB13D5EA9E47F60C8F076F3634F8EE7.htm
71,Renault,KWID,2018,First,"9,000",hyderabad,Automatic,24.04,Petrol,Dealer,5,999,67,4.35,https://www.cardekho.com/used-car-details/used-Renault-KWID-2015-2019-AMT-cars-Hyderabad_90135AFF65EF11B336AE3A5CFEFC1F95.htm
72,Ford,Ecosport,2017,First,"50,854",hyderabad,Manual,21.7,Diesel,Dealer,5,1498,98.96,7.8,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Titanium-cars-Hyderabad_87352811A36D7825879F3FCC18EE8AF5.htm
73,Maruti,Swift,2019,First,"10,580",hyderabad,Manual,20.4,Petrol,Dealer,5,1197,81.80,6.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VXI-Optional-cars-Hyderabad_4003A6B4EC253A9C8DDEEFA67BDD5A58.htm
74,Hyundai,i20,2019,First,"20,951",hyderabad,Manual,22.54,Diesel,Dealer,5,1396,88.73,8,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2017-2020-1.4-Sportz-cars-Hyderabad_7931A2F4DCCC3B862588817C6CB6F814.htm
75,Hyundai,Grand,2018,First,"36,717",hyderabad,Manual,18.9,Petrol,Dealer,5,1197,81.86,5.1,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Magna-BSIV-cars-Hyderabad_F6D70DDF77A997CAB1C6AF1506CA54D1.htm
76,Maruti,Ritz,2015,First,"60,459",hyderabad,Manual,21.8,Diesel,Dealer,5,1248,73.9,4.4,https://www.cardekho.com/used-car-details/used-Maruti-Ritz-2009-2011-ZDi-cars-Hyderabad_7026BFF09157197E116F5592C9A28113.htm
77,Volkswagen,Vento,2015,First,"62,000",hyderabad,Manual,22.27,Diesel,Dealer,5,1498,108.6,6.45,https://www.cardekho.com/used-car-details/used-Volkswagen-Vento-2015-2019-1.5-TDI-Highline-cars-Hyderabad_1EB060A57F1280CE42F365800DF44F5E.htm
78,Audi,A4,2012,First,"60,000",jaipur,Automatic,16.55,Diesel,Dealer,5,1968,147.51,15.5,https://www.cardekho.com/used-car-details/used-Audi-A4-2.0-TDI-cars-Jaipur_AA6D5E0970A263CFAD7B4194F029E793.htm
79,Hyundai,Creta,2018,First,"27,500",jaipur,Automatic,13.0,Petrol,Dealer,5,1591,121.3,13.25,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-2015-2020-1.6-VTVT-AT-SX-Plus-cars-Jaipur_330914034A33885B702137B57BF4067A.htm
80,Honda,Jazz,2019,First,"10,074",jaipur,Automatic,18.2,Petrol,Dealer,5,1199,88.7,8.45,https://www.cardekho.com/used-car-details/used-Honda-Jazz-2018-2020-VX-CVT-cars-Jaipur_8008032C6B0177A502A7324523F9D711.htm
81,Toyota,Etios,2015,First,"57,307",jaipur,Manual,23.59,Diesel,Dealer,5,1364,67.04,5.5,https://www.cardekho.com/used-car-details/used-Toyota-Etios-Liva-2014-2016-GD-cars-Jaipur_8F0CCDF01AC25744517DFA286EF2F0F0.htm
82,Maruti,Ertiga,2014,First,"36,500",jaipur,Manual,16.02,Petrol,Dealer,7,1373,93.7,6.25,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-2012-2015-VXI-cars-Jaipur_9D1D7AB58AB2347CB6E3308A7322BC8D.htm
